CCAA;Provincia
CASTILLA Y LEÓN;ÁVILA
ANDALUCÍA;CÁDIZ
COMUNITAT VALENCIANA;VALÈNCIA
ANDALUCÍA;JAÉN
COMUNIDAD DE MADRID;MADRID
CANTABRIA;CANTABRIA
PAÍS VASCO;BIZKAIA
ASTURIAS, PRINCIPADO DE;ASTURIAS
CANARIAS;LAS PALMAS
GALICIA;PONTEVEDRA
CASTILLA - LA MANCHA;GUADALAJARA
ILLES BALEARS;ILLES BALEARS
COMUNIDAD FORAL DE NAVARRA;NAVARRA
ANDALUCÍA;GRANADA
RIOJA, LA;LA RIOJA
GALICIA;A CORUÑA
ARAGÓN;TERUEL
ARAGÓN;ZARAGOZA
EXTREMADURA;BADAJOZ
ARAGÓN;HUESCA
COMUNITAT VALENCIANA;ALACANT
REGIÓN DE MURCIA;MURCIA
PAÍS VASCO;ARABA
CATALUÑA;GIRONA
CASTILLA Y LEÓN;SEGOVIA
CASTILLA Y LEÓN;ZAMORA
CASTILLA Y LEÓN;PALENCIA
ANDALUCÍA;MÁLAGA
GALICIA;LUGO
CASTILLA - LA MANCHA;ALBACETE
EXTREMADURA;CÁCERES
CASTILLA - LA MANCHA;CIUDAD REAL
CATALUÑA;LLEIDA
CATALUÑA;BARCELONA
CASTILLA - LA MANCHA;CUENCA
CASTILLA Y LEÓN;SORIA
CASTILLA - LA MANCHA;TOLEDO
ANDALUCÍA;ALMERÍA
ANDALUCÍA;CÓRDOBA
CASTILLA Y LEÓN;LEÓN
GALICIA;OURENSE
CATALUÑA;TARRAGONA
COMUNITAT VALENCIANA;CASTELLÓ
ANDALUCÍA;HUELVA
CANARIAS;SANTA CRUZ DE TENERIFE
CASTILLA Y LEÓN;BURGOS
PAÍS VASCO;GIPUZCOA
CASTILLA Y LEÓN;SALAMANCA
MELILLA;MELILLA
ANDALUCÍA;SEVILLA
CASTILLA Y LEÓN;VALLADOLID
CEUTA;CEUTA
